Location,Median Annual Household Income
United States,"$60,336 "
Alabama,"$48,123 "
Alaska,"$73,181 "
Arizona,"$56,581 "
Arkansas,"$45,869 "
California,"$71,805 "
Colorado,"$69,117 "
Connecticut,"$74,168 "
Delaware,"$62,852 "
District of Columbia,"$82,372 "
Florida,"$52,594 "
Georgia,"$56,183 "
Hawaii,"$77,765 "
Idaho,"$52,225 "
Illinois,"$62,992 "
Indiana,"$54,181 "
Iowa,"$58,570 "
Kansas,"$56,422 "
Kentucky,"$48,375 "
Louisiana,"$46,145 "
Maine,"$56,277 "
Maryland,"$80,776 "
Massachusetts,"$77,385 "
Michigan,"$54,909 "
Minnesota,"$68,388 "
Mississippi,"$43,529 "
Missouri,"$53,578 "
Montana,"$53,386 "
Nebraska,"$59,970 "
Nevada,"$58,003 "
New Hampshire,"$73,381 "
New Jersey,"$80,088 "
New Mexico,"$46,744 "
New York,"$64,894 "
North Carolina,"$52,752 "
North Dakota,"$61,843 "
Ohio,"$54,021 "
Oklahoma,"$50,051 "
Oregon,"$60,212 "
Pennsylvania,"$59,195 "
Rhode Island,"$63,870 "
South Carolina,"$50,570 "
South Dakota,"$56,521 "
Tennessee,"$51,340 "
Texas,"$59,206 "
Utah,"$68,358 "
Vermont,"$57,513 "
Virginia,"$71,535 "
Washington,"$70,979 "
West Virginia,"$43,469 "
Wisconsin,"$59,305 "
Wyoming,"$60,434 "
Puerto Rico,"$19,343 "
